"County","Code_Mailing","Code_Number","FIPS","X_Latitude","Y_Longitude","Centroid_Location","Shape_Length","Shape_Area"
"Anderson",1,1,"48,001",31.81321543,-95.65251774,"POINT (-95.65251774 31.81321543)",3.70938097,0.265991956
"Andrews",3,2,"48,003",32.30506283,-102.6378839,"POINT (-102.6378839 32.30506283)",2.579602167,0.372269477
"Angelina",5,3,"48,005",31.25475875,-94.611742,"POINT (-94.611742 31.25475875)",3.432799188,0.212056914
"Aransas",7,4,"48,007",28.12709562,-96.99258951,"POINT (-96.99258951 28.12709562)",6.125349667,0.06711832
"Archer",9,5,"48,009",33.61539176,-98.68783437,"POINT (-98.68783437 33.61539176)",1.941220218,0.232834442
"Armstrong",11,6,"48,011",34.96522076,-101.3572412,"POINT (-101.3572412 34.96522076)",1.945689566,0.233109934
"Atascosa",13,7,"48,013",28.89418432,-98.52741302,"POINT (-98.52741302 28.89418432)",2.273610657,0.291800502
"Austin",15,8,"48,015",29.88711223,-96.27791829,"POINT (-96.27791829 29.88711223)",2.481689338,0.158727256
"Bailey",17,9,"48,017",34.0684915,-102.8299069,"POINT (-102.8299069 34.0684915)",1.836282732,0.209332494
"Bandera",19,10,"48,019",29.74724753,-99.24637282,"POINT (-99.24637282 29.74724753)",2.120842963,0.192677466
"Bastrop",21,11,"48,021",30.10353518,-97.31187705,"POINT (-97.31187705 30.10353518)",1.83148179,0.217074712
"Baylor",23,12,"48,023",33.61648147,-99.21351964,"POINT (-99.21351964 33.61648147)",1.912457508,0.226681232
"Bee",25,13,"48,025",28.41736675,-97.74116811,"POINT (-97.74116811 28.41736675)",2.228981316,0.209983578
"Bell",27,14,"48,027",31.03778267,-97.47790776,"POINT (-97.47790776 31.03778267)",2.178761589,0.265926568
"Bexar",29,15,"48,029",29.44884523,-98.51966309,"POINT (-98.51966309 29.44884523)",2.729791097,0.302845599
"Blanco",31,16,"48,031",30.26636128,-98.39974086,"POINT (-98.39974086 30.26636128)",1.683596565,0.173305894
"Borden",33,17,"48,033",32.7436916,-101.4317533,"POINT (-101.4317533 32.7436916)",1.908679146,0.22582417
"Bosque",35,18,"48,035",31.90050476,-97.63437613,"POINT (-97.63437613 31.90050476)",2.554113353,0.247533464
"Bowie",37,19,"48,037",33.44572786,-94.42324298,"POINT (-94.42324298 33.44572786)",4.057052845,0.231733439
"Brazoria",39,20,"48,039",29.19345387,-95.45578479,"POINT (-95.45578479 29.19345387)",8.449998572,0.342869742
"Brazos",41,21,"48,041",30.6610425,-96.3022943,"POINT (-96.3022943 30.6610425)",2.811591006,0.143906946
"Brewster",43,22,"48,043",29.81205836,-103.2518906,"POINT (-103.2518906 29.81205836)",6.004896343,1.497093043
"Briscoe",45,23,"48,045",34.53041048,-101.2085769,"POINT (-101.2085769 34.53041048)",1.923905198,0.229466022
"Brooks",47,24,"48,047",27.0315669,-98.21874127,"POINT (-98.21874127 27.0315669)",2.056815131,0.222310537
"Brown",49,25,"48,049",31.77432313,-98.99989649,"POINT (-98.99989649 31.77432313)",2.082173277,0.236003924
"Burleson",51,26,"48,051",30.49246139,-96.62109399,"POINT (-96.62109399 30.49246139)",2.483673931,0.164949546
"Burnet",53,27,"48,053",30.78843382,-98.18252382,"POINT (-98.18252382 30.78843382)",2.494223061,0.249033659
"Caldwell",55,28,"48,055",29.83677935,-97.61983479,"POINT (-97.61983479 29.83677935)",1.870385996,0.132116353
"Calhoun",57,29,"48,057",28.48966896,-96.64708119,"POINT (-96.64708119 28.48966896)",9.289508624,0.129738262
"Callahan",59,30,"48,059",32.2977738,-99.37359692,"POINT (-99.37359692 32.2977738)",1.897523701,0.223364373
"Cameron",61,31,"48,061",26.13847728,-97.51499968,"POINT (-97.51499968 26.13847728)",6.776490677,0.237848399
"Camp",63,32,"48,063",32.97321771,-94.97860185,"POINT (-94.97860185 32.97321771)",1.426383691,0.050799133
"Carson",65,33,"48,065",35.40346802,-101.3542037,"POINT (-101.3542037 35.40346802)",1.957610985,0.237516554
"Cass",67,34,"48,067",33.07750446,-94.34348771,"POINT (-94.34348771 33.07750446)",2.729630317,0.240082449
"Castro",69,35,"48,069",34.53000304,-102.2617608,"POINT (-102.2617608 34.53000304)",1.923920787,0.228709346
"Chambers",71,36,"48,071",29.73912276,-94.60891308,"POINT (-94.60891308 29.73912276)",3.954636694,0.152677647
"Cherokee",73,37,"48,073",31.83695632,-95.16515234,"POINT (-95.16515234 31.83695632)",3.639151502,0.262098402
"Childress",75,38,"48,075",34.52929257,-100.2075664,"POINT (-100.2075664 34.52929257)",1.708574094,0.18152779
"Clay",77,39,"48,077",33.78379717,-98.208958,"POINT (-98.208958 33.78379717)",2.382094906,0.279980045
"Cochran",79,40,"48,079",33.60410808,-102.8285264,"POINT (-102.8285264 33.60410808)",1.768253751,0.19513349
"Coke",81,41,"48,081",31.88849293,-100.5298747,"POINT (-100.5298747 31.88849293)",1.957649096,0.22908758
"Coleman",83,42,"48,083",31.77329421,-99.45362579,"POINT (-99.45362579 31.77329421)",2.675641055,0.316062015
"Collin",85,43,"48,085",33.18789055,-96.57248871,"POINT (-96.57248871 33.18789055)",1.931216329,0.221921741
"Collingsworth",87,44,"48,087",34.96498493,-100.2700733,"POINT (-100.2700733 34.96498493)",1.94963166,0.234984086
"Colorado",89,45,"48,089",29.6208542,-96.52630821,"POINT (-96.52630821 29.6208542)",2.361173893,0.234963166
"Comal",91,46,"48,091",29.80816362,-98.27814516,"POINT (-98.27814516 29.80816362)",1.949036658,0.139000572
"Comanche",93,47,"48,093",31.9490639,-98.55841538,"POINT (-98.55841538 31.9490639)",2.095434312,0.235313921
"Concho",95,48,"48,095",31.32645211,-99.86413426,"POINT (-99.86413426 31.32645211)",2.16469319,0.243756513
"Cooke",97,49,"48,097",33.638465,-97.21247642,"POINT (-97.21247642 33.638465)",2.832732183,0.225401457
"Coryell",99,50,"48,099",31.39087578,-97.7991883,"POINT (-97.7991883 31.39087578)",2.05310828,0.259511549
"Cottle",101,51,"48,101",34.0776571,-100.2786983,"POINT (-100.2786983 34.0776571)",2.021259965,0.22801233
"Crane",103,52,"48,103",31.42846287,-102.5156425,"POINT (-102.5156425 31.42846287)",2.397673949,0.192992554
"Crockett",105,53,"48,105",30.72291931,-101.4118364,"POINT (-101.4118364 30.72291931)",5.08101873,0.684742415
"Crosby",107,54,"48,107",33.61459873,-101.2998612,"POINT (-101.2998612 33.61459873)",1.913220344,0.22690701
"Culberson",109,55,"48,109",31.44709817,-104.5177421,"POINT (-104.5177421 31.44709817)",4.080850332,0.937432831
"Dallam",111,56,"48,111",36.27777107,-102.6021647,"POINT (-102.6021647 36.27777107)",2.647748843,0.391034911
"Dallas",113,57,"48,113",32.76653746,-96.77781862,"POINT (-96.77781862 32.76653746)",1.90778162,0.226420617
"Dawson",115,58,"48,115",32.74258137,-101.9476136,"POINT (-101.9476136 32.74258137)",1.903707265,0.22477727
"Deaf Smith",117,59,"48,117",34.96602014,-102.6048162,"POINT (-102.6048162 34.96602014)",2.622245621,0.38287479
"Delta",119,60,"48,119",33.38623601,-95.67221685,"POINT (-95.67221685 33.38623601)",2.321141746,0.06975473
"Denton",121,61,"48,121",33.205574,-97.11681154,"POINT (-97.11681154 33.205574)",1.969323966,0.238359434
"DeWitt",123,62,"48,123",29.08201599,-97.35666976,"POINT (-97.35666976 29.08201599)",2.065558037,0.218449329
"Dickens",125,63,"48,125",33.61663428,-100.7788138,"POINT (-100.7788138 33.61663428)",1.920691475,0.227699784
"Dimmit",127,64,"48,127",28.42161168,-99.760574,"POINT (-99.760574 28.42161168)",2.324663844,0.314454367
"Donley",129,65,"48,129",34.96540246,-100.8140501,"POINT (-100.8140501 34.96540246)",1.966381841,0.238522128
"Duval",131,67,"48,131",27.68133382,-98.50889672,"POINT (-98.50889672 27.68133382)",2.76954491,0.425467009
"Eastland",133,68,"48,133",32.32739258,-98.8325713,"POINT (-98.8325713 32.32739258)",1.988668355,0.230684082
"Ector",135,69,"48,135",31.86908156,-102.5430907,"POINT (-102.5430907 31.86908156)",1.894771979,0.222982245
"Edwards",137,70,"48,137",29.98248216,-100.3048937,"POINT (-100.3048937 29.98248216)",3.37029966,0.513424083
"Ellis",139,71,"48,139",32.34839264,-96.79467417,"POINT (-96.79467417 32.34839264)",2.245024488,0.236142131
"El Paso",141,72,"48,141",31.7686226,-106.2352229,"POINT (-106.2352229 31.7686226)",2.435514554,0.250159941
